Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
ABCA13,HGNC:14638,ABCA13,7,protein-coding gene,gene with protein product,,,ENSG00000179869,154664,Q86UQ4
ABCA17P,HGNC:32972,ABCA17P,16,pseudogene,pseudogene,,,ENSG00000238098,650655,
ABCB1,HGNC:40,ABCB1,7,protein-coding gene,gene with protein product,,,ENSG00000085563,5243,P08183
ABCB4,HGNC:45,ABCB4,7,protein-coding gene,gene with protein product,,,ENSG00000005471,5244,P21439
ABCB5,HGNC:46,ABCB5,7,protein-coding gene,gene with protein product,,,ENSG00000004846,340273,Q2M3G0
ABCB6,HGNC:47,ABCB6,2,protein-coding gene,gene with protein product,,,ENSG00000115657,10058,Q9NP58
ABCB7,HGNC:48,ABCB7,X,protein-coding gene,gene with protein product,,,ENSG00000131269,22,O75027
ABCB8,HGNC:49,ABCB8,7,protein-coding gene,gene with protein product,,,ENSG00000197150,11194,Q9NUT2
ABCB9,HGNC:50,ABCB9,12,protein-coding gene,gene with protein product,,,ENSG00000150967,23457,Q9NP78
ABCB10,HGNC:41,ABCB10,1,protein-coding gene,gene with protein product,,,ENSG00000135776,23456,Q9NRK6
ABCB10P1,HGNC:14114,ABCB10P1,15,pseudogene,pseudogene,,2008-09-09,ENSG00000274099,56476,
ABCB10P3,HGNC:31129,ABCB10P3,15,pseudogene,pseudogene,,,ENSG00000261524,728248,
ABCB10P4,HGNC:31130,ABCB10P4,15,pseudogene,pseudogene,,,ENSG00000260053,100132289,
ABCB11,HGNC:42,ABCB11,2,protein-coding gene,gene with protein product,,,ENSG00000073734,8647,O95342
ABCC1,HGNC:51,ABCC1,16,protein-coding gene,gene with protein product,,,ENSG00000103222,4363,P33527
ABCC2,HGNC:53,ABCC2,10,protein-coding gene,gene with protein product,,,ENSG00000023839,1244,Q92887
ABCC3,HGNC:54,ABCC3,17,protein-coding gene,gene with protein product,,,ENSG00000108846,8714,O15438
ABCC4,HGNC:55,ABCC4,13,protein-coding gene,gene with protein product,,,ENSG00000125257,10257,O15439
ABCC5,HGNC:56,ABCC5,3,protein-coding gene,gene with protein product,,,ENSG00000114770,10057,O15440
ABCC5-AS1,HGNC:40055,ABCC5-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000223882,100873982,
ABCC6,HGNC:57,ABCC6,16,protein-coding gene,gene with protein product,,,ENSG00000091262,368,O95255
ABCC6P1,HGNC:33352,ABCC6P1,16,pseudogene,pseudogene,,,ENSG00000256340,653190,
ABCC6P2,HGNC:33353,ABCC6P2,16,pseudogene,pseudogene,,,ENSG00000255277,730013,
ABCC8,HGNC:59,ABCC8,11,protein-coding gene,gene with protein product,,,ENSG00000006071,6833,Q09428
ABCC9,HGNC:60,ABCC9,12,protein-coding gene,gene with protein product,,,ENSG00000069431,10060,O60706
ABCC10,HGNC:52,ABCC10,6,protein-coding gene,gene with protein product,,,ENSG00000124574,89845,Q5T3U5
ABCC11,HGNC:14639,ABCC11,16,protein-coding gene,gene with protein product,,,ENSG00000121270,85320,Q96J66
ABCC12,HGNC:14640,ABCC12,16,protein-coding gene,gene with protein product,,,ENSG00000140798,94160,Q96J65
ABCC13,HGNC:16022,ABCC13,21,pseudogene,pseudogene,,,ENSG00000243064,150000,
ABCD1,HGNC:61,ABCD1,X,protein-coding gene,gene with protein product,,,ENSG00000101986,215,P33897
ABCD1P1,HGNC:62,ABCD1P1,2,pseudogene,pseudogene,,,,23785,
ABCD1P2,HGNC:63,ABCD1P2,10,pseudogene,pseudogene,,,ENSG00000215151,26983,
ABCD1P3,HGNC:64,ABCD1P3,16,pseudogene,pseudogene,,,ENSG00000261233,26982,
ABCD1P4,HGNC:65,ABCD1P4,22,pseudogene,pseudogene,,,ENSG00000225293,26957,
ABCD1P5,HGNC:42662,ABCD1P5,2,pseudogene,pseudogene,,,ENSG00000214330,642762,
ABCD2,HGNC:66,ABCD2,12,protein-coding gene,gene with protein product,,,ENSG00000173208,225,Q9UBJ2
ABCD3,HGNC:67,ABCD3,1,protein-coding gene,gene with protein product,,,ENSG00000117528,5825,P28288
ABCD4,HGNC:68,ABCD4,14,protein-coding gene,gene with protein product,,,ENSG00000119688,5826,O14678
ABCE1,HGNC:69,ABCE1,4,protein-coding gene,gene with protein product,,,ENSG00000164163,6059,P61221
ABCF1,HGNC:70,ABCF1,6,protein-coding gene,gene with protein product,,,ENSG00000204574,23,Q8NE71
ABCF1-DT,HGNC:53628,ABCF1-DT,6,non-coding RNA,"RNA, long non-coding",,,,107986587,
ABCF2,HGNC:71,ABCF2,7,protein-coding gene,gene with protein product,,,ENSG00000033050,10061,Q9UG63
ABCF2-H2BK1,HGNC:54751,ABCF2-H2BK1,7,other,readthrough,,2021-10-18,ENSG00000285292,114483834,
ABCF2P1,HGNC:48841,ABCF2P1,3,pseudogene,pseudogene,,,ENSG00000242159,344653,
ABCF2P2,HGNC:48842,ABCF2P2,7,pseudogene,pseudogene,,,ENSG00000228769,100422059,
ABCF3,HGNC:72,ABCF3,3,protein-coding gene,gene with protein product,,,ENSG00000161204,55324,Q9NUQ8
ABCG1,HGNC:73,ABCG1,21,protein-coding gene,gene with protein product,,,ENSG00000160179,9619,P45844
ABCG2,HGNC:74,ABCG2,4,protein-coding gene,gene with protein product,,,ENSG00000118777,9429,Q9UNQ0
ABCG4,HGNC:13884,ABCG4,11,protein-coding gene,gene with protein product,,,ENSG00000172350,64137,Q9H172
ABCG5,HGNC:13886,ABCG5,2,protein-coding gene,gene with protein product,,,ENSG00000138075,64240,Q9H222
ABCG8,HGNC:13887,ABCG8,2,protein-coding gene,gene with protein product,,,ENSG00000143921,64241,Q9H221
ABHD1,HGNC:17553,ABHD1,2,protein-coding gene,gene with protein product,,,ENSG00000143994,84696,Q96SE0
ABHD2,HGNC:18717,ABHD2,15,protein-coding gene,gene with protein product,,,ENSG00000140526,11057,P08910
ABHD3,HGNC:18718,ABHD3,18,protein-coding gene,gene with protein product,,,ENSG00000158201,171586,Q8WU67
ABHD4,HGNC:20154,ABHD4,14,protein-coding gene,gene with protein product,,,ENSG00000100439,63874,Q8TB40
ABHD5,HGNC:21396,ABHD5,3,protein-coding gene,gene with protein product,,,ENSG00000011198,51099,Q8WTS1
ABHD6,HGNC:21398,ABHD6,3,protein-coding gene,gene with protein product,,,ENSG00000163686,57406,Q9BV23
ABHD8,HGNC:23759,ABHD8,19,protein-coding gene,gene with protein product,,,ENSG00000127220,79575,Q96I13
ABHD10,HGNC:25656,ABHD10,3,protein-coding gene,gene with protein product,,,ENSG00000144827,55347,Q9NUJ1
ABHD11,HGNC:16407,ABHD11,7,protein-coding gene,gene with protein product,,2005-01-27,ENSG00000106077,83451,Q8NFV4
ABHD11-AS1,HGNC:18289,ABHD11-AS1,7,non-coding RNA,"RNA, long non-coding",,2014-07-08,ENSG00000225969,171022,
ABHD12,HGNC:15868,ABHD12,20,protein-coding gene,gene with protein product,,2006-03-10,ENSG00000100997,26090,Q8N2K0
ABHD12B,HGNC:19837,ABHD12B,14,protein-coding gene,gene with protein product,,2007-04-03,ENSG00000131969,145447,Q7Z5M8
ABHD13,HGNC:20293,ABHD13,13,protein-coding gene,gene with protein product,,2006-03-10,ENSG00000139826,84945,Q7L211
ABHD14A,HGNC:24538,ABHD14A,3,protein-coding gene,gene with protein product,,,ENSG00000248487,25864,Q9BUJ0
ABHD14A-ACY1,HGNC:38856,ABHD14A-ACY1,3,other,readthrough,,,ENSG00000114786,100526760,
ABHD14B,HGNC:28235,ABHD14B,3,protein-coding gene,gene with protein product,,,ENSG00000114779,84836,Q96IU4
ABHD15,HGNC:26971,ABHD15,17,protein-coding gene,gene with protein product,,,ENSG00000168792,116236,Q6UXT9
ABHD15-AS1,HGNC:49685,ABHD15-AS1,17,non-coding RNA,"RNA, long non-coding",,,ENSG00000264031,104355133,
ABHD16A,HGNC:13921,ABHD16A,6,protein-coding gene,gene with protein product,,2010-12-09,ENSG00000204427,7920,O95870
ABHD16B,HGNC:16128,ABHD16B,20,protein-coding gene,gene with protein product,,2010-12-09,ENSG00000183260,140701,Q9H3Z7
ABHD17A,HGNC:28756,ABHD17A,19,protein-coding gene,gene with protein product,,2013-03-15,ENSG00000129968,81926,Q96GS6
ABHD17AP1,HGNC:28394,ABHD17AP1,1,pseudogene,pseudogene,,2013-03-15,ENSG00000198658,728917,
ABHD17AP3,HGNC:34041,ABHD17AP3,1,pseudogene,pseudogene,,2013-03-15,ENSG00000250536,648359,
ABHD17AP4,HGNC:34042,ABHD17AP4,22,pseudogene,pseudogene,,2013-03-15,ENSG00000229107,729495,
ABHD17AP5,HGNC:34043,ABHD17AP5,22,pseudogene,pseudogene,,2013-03-15,ENSG00000263366,91219,
ABHD17AP6,HGNC:34044,ABHD17AP6,17,pseudogene,pseudogene,,2013-03-15,ENSG00000226981,644988,
ABHD17AP7,HGNC:38508,ABHD17AP7,16,pseudogene,pseudogene,,2013-03-15,ENSG00000260864,100133212,
ABHD17AP8,HGNC:38509,ABHD17AP8,16,pseudogene,pseudogene,,2013-03-15,ENSG00000260540,647144,
ABHD17AP9,HGNC:38510,ABHD17AP9,16,pseudogene,pseudogene,,2013-03-15,ENSG00000261536,100132251,
ABHD17B,HGNC:24278,ABHD17B,9,protein-coding gene,gene with protein product,,2013-03-15,ENSG00000107362,51104,Q5VST6
ABHD17C,HGNC:26925,ABHD17C,15,protein-coding gene,gene with protein product,,2013-03-15,ENSG00000136379,58489,Q6PCB6
ABHD18,HGNC:26111,ABHD18,4,protein-coding gene,gene with protein product,,2015-10-16,ENSG00000164074,80167,Q0P651
ABI1,HGNC:11320,ABI1,10,protein-coding gene,gene with protein product,,2004-03-19,ENSG00000136754,10006,Q8IZP0
ABI1P1,HGNC:20035,ABI1P1,14,pseudogene,pseudogene,,2010-01-12,ENSG00000271484,326268,
ABI2,HGNC:24011,ABI2,2,protein-coding gene,gene with protein product,,,ENSG00000138443,10152,Q9NYB9
ABI3,HGNC:29859,ABI3,17,protein-coding gene,gene with protein product,,,ENSG00000108798,51225,Q9P2A4
ABI3BP,HGNC:17265,ABI3BP,3,protein-coding gene,gene with protein product,,,ENSG00000154175,25890,Q7Z7G0
ABITRAM,HGNC:1364,ABITRAM,9,protein-coding gene,gene with protein product,,2019-01-11,ENSG00000119328,54942,Q9NX38
ABITRAMP1,HGNC:39851,ABITRAMP1,13,pseudogene,pseudogene,,2019-01-11,ENSG00000251106,390403,
ABL1,HGNC:76,ABL1,9,protein-coding gene,gene with protein product,,,ENSG00000097007,25,P00519
ABL2,HGNC:77,ABL2,1,protein-coding gene,gene with protein product,,,ENSG00000143322,27,P42684
ABLIM1,HGNC:78,ABLIM1,10,protein-coding gene,gene with protein product,,2002-09-13,ENSG00000099204,3983,O14639
ABLIM2,HGNC:19195,ABLIM2,4,protein-coding gene,gene with protein product,,,ENSG00000163995,84448,Q6H8Q1
ABLIM3,HGNC:29132,ABLIM3,5,protein-coding gene,gene with protein product,,,ENSG00000173210,22885,O94929
ABO,HGNC:79,ABO,9,protein-coding gene,gene with protein product,,,ENSG00000175164,28,P16442
ABR,HGNC:81,ABR,17,protein-coding gene,gene with protein product,,,ENSG00000159842,29,Q12979
ABR-AS1,HGNC:55674,ABR-AS1,17,non-coding RNA,"RNA, long non-coding",,,ENSG00000235361,105371479,
ABRA,HGNC:30655,ABRA,8,protein-coding gene,gene with protein product,,,ENSG00000174429,137735,Q8N0Z2
ABRACL,HGNC:21230,ABRACL,6,protein-coding gene,gene with protein product,,2012-03-05,ENSG00000146386,58527,Q9P1F3
ABRAXAS1,HGNC:25829,ABRAXAS1,4,protein-coding gene,gene with protein product,,2017-04-27,ENSG00000163322,84142,Q6UWZ7
ABRAXAS2,HGNC:28975,ABRAXAS2,10,protein-coding gene,gene with protein product,,2017-04-27,ENSG00000165660,23172,Q15018
ABT1,HGNC:17369,ABT1,6,protein-coding gene,gene with protein product,,,ENSG00000146109,29777,Q9ULW3
ABT1P1,HGNC:39557,ABT1P1,4,pseudogene,pseudogene,,,ENSG00000250496,100420695,
ABTB1,HGNC:18275,ABTB1,3,protein-coding gene,gene with protein product,,,ENSG00000114626,80325,Q969K4
ABTB2,HGNC:23842,ABTB2,11,protein-coding gene,gene with protein product,,,ENSG00000166016,25841,Q8N961
ACAA1,HGNC:82,ACAA1,3,protein-coding gene,gene with protein product,,,ENSG00000060971,30,P09110
ACAA2,HGNC:83,ACAA2,18,protein-coding gene,gene with protein product,,,ENSG00000167315,10449,P42765
ACAA2P1,HGNC:55880,ACAA2P1,X,pseudogene,pseudogene,,,ENSG00000233585,100420869,
ACACA,HGNC:84,ACACA,17,protein-coding gene,gene with protein product,,,ENSG00000278540,31,Q13085
ACACB,HGNC:85,ACACB,12,protein-coding gene,gene with protein product,,,ENSG00000076555,32,O00763
ACAD8,HGNC:87,ACAD8,11,protein-coding gene,gene with protein product,,,ENSG00000151498,27034,Q9UKU7
ACAD9,HGNC:21497,ACAD9,3,protein-coding gene,gene with protein product,,,ENSG00000177646,28976,Q9H845
ACAD10,HGNC:21597,ACAD10,12,protein-coding gene,gene with protein product,,,ENSG00000111271,80724,Q6JQN1
ACAD11,HGNC:30211,ACAD11,3,protein-coding gene,gene with protein product,,,ENSG00000240303,84129,Q709F0
ACADL,HGNC:88,ACADL,2,protein-coding gene,gene with protein product,,,ENSG00000115361,33,P28330
ACADM,HGNC:89,ACADM,1,protein-coding gene,gene with protein product,,,ENSG00000117054,34,P11310
ACADS,HGNC:90,ACADS,12,protein-coding gene,gene with protein product,,,ENSG00000122971,35,P16219
ACADSB,HGNC:91,ACADSB,10,protein-coding gene,gene with protein product,,,ENSG00000196177,36,P45954
ACADVL,HGNC:92,ACADVL,17,protein-coding gene,gene with protein product,,,ENSG00000072778,37,P49748
ACAN,HGNC:319,ACAN,15,protein-coding gene,gene with protein product,,2007-02-16,ENSG00000157766,176,P16112
ACAP1,HGNC:16467,ACAP1,17,protein-coding gene,gene with protein product,,2008-09-22,ENSG00000072818,9744,Q15027
ACAP2,HGNC:16469,ACAP2,3,protein-coding gene,gene with protein product,,2008-09-22,ENSG00000114331,23527,Q15057
ACAP2-IT1,HGNC:41426,ACAP2-IT1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000229325,100874306,
ACAP3,HGNC:16754,ACAP3,1,protein-coding gene,gene with protein product,,2008-09-22,ENSG00000131584,116983,Q96P50
ACAT1,HGNC:93,ACAT1,11,protein-coding gene,gene with protein product,,,ENSG00000075239,38,P24752
ACAT2,HGNC:94,ACAT2,6,protein-coding gene,gene with protein product,,,ENSG00000120437,39,Q9BWD1
ACBD3,HGNC:15453,ACBD3,1,protein-coding gene,gene with protein product,,2003-11-12,ENSG00000182827,64746,Q9H3P7
ACBD3-AS1,HGNC:40701,ACBD3-AS1,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000234478,107985353,
ACBD4,HGNC:23337,ACBD4,17,protein-coding gene,gene with protein product,,,ENSG00000181513,79777,Q8NC06
ACBD5,HGNC:23338,ACBD5,10,protein-coding gene,gene with protein product,,,ENSG00000107897,91452,Q5T8D3
ACBD6,HGNC:23339,ACBD6,1,protein-coding gene,gene with protein product,,,ENSG00000230124,84320,Q9BR61
ACBD7,HGNC:17715,ACBD7,10,protein-coding gene,gene with protein product,,,ENSG00000176244,414149,Q8N6N7
ACCS,HGNC:23989,ACCS,11,protein-coding gene,gene with protein product,,,ENSG00000110455,84680,Q96QU6
ACCSL,HGNC:34391,ACCSL,11,protein-coding gene,gene with protein product,,,ENSG00000205126,390110,Q4AC99
ACD,HGNC:25070,ACD,16,protein-coding gene,gene with protein product,,,ENSG00000102977,65057,Q96AP0
ACE,HGNC:2707,ACE,17,protein-coding gene,gene with protein product,,,ENSG00000159640,1636,P12821
ACE2,HGNC:13557,ACE2,X,protein-coding gene,gene with protein product,,,ENSG00000130234,59272,Q9BYF1
ACE3P,HGNC:44365,ACE3P,17,pseudogene,pseudogene,,,ENSG00000224353,100129123,
ACER1,HGNC:18356,ACER1,19,protein-coding gene,gene with protein product,,2008-12-19,ENSG00000167769,125981,Q8TDN7
ACER2,HGNC:23675,ACER2,9,protein-coding gene,gene with protein product,,2008-12-19,ENSG00000177076,340485,Q5QJU3
ACER2P1,HGNC:54674,ACER2P1,2,pseudogene,pseudogene,,,ENSG00000180105,645978,
ACER3,HGNC:16066,ACER3,11,protein-coding gene,gene with protein product,,2008-12-19,ENSG00000078124,55331,Q9NUN7
ACHE,HGNC:108,ACHE,7,protein-coding gene,gene with protein product,,,ENSG00000087085,43,P22303
ACIN1,HGNC:17066,ACIN1,14,protein-coding gene,gene with protein product,,2004-04-01,ENSG00000100813,22985,Q9UKV3
ACKR1,HGNC:4035,ACKR1,1,protein-coding gene,gene with protein product,,2014-04-04,ENSG00000213088,2532,Q16570
ACKR2,HGNC:1565,ACKR2,3,protein-coding gene,gene with protein product,,2013-07-16,ENSG00000144648,1238,O00590
ACKR3,HGNC:23692,ACKR3,2,protein-coding gene,gene with protein product,,2013-07-16,ENSG00000144476,57007,P25106
ACKR4,HGNC:1611,ACKR4,3,protein-coding gene,gene with protein product,,2013-07-16,ENSG00000129048,51554,Q9NPB9
ACKR4P1,HGNC:21142,ACKR4P1,6,pseudogene,pseudogene,,2019-04-15,ENSG00000225415,285737,
ACLY,HGNC:115,ACLY,17,protein-coding gene,gene with protein product,,,ENSG00000131473,47,P53396
ACMSD,HGNC:19288,ACMSD,2,protein-coding gene,gene with protein product,,,ENSG00000153086,130013,Q8TDX5
ACNATP,HGNC:34504,ACNATP,9,pseudogene,pseudogene,,2018-07-18,ENSG00000227411,347275,
ACO1,HGNC:117,ACO1,9,protein-coding gene,gene with protein product,,,ENSG00000122729,48,P21399
ACO2,HGNC:118,ACO2,22,protein-coding gene,gene with protein product,,,ENSG00000100412,50,Q99798
ACOD1,HGNC:33904,ACOD1,13,protein-coding gene,gene with protein product,,2016-03-07,ENSG00000102794,730249,A6NK06
ACOT1,HGNC:33128,ACOT1,14,protein-coding gene,gene with protein product,,,ENSG00000184227,641371,Q86TX2
ACOT2,HGNC:18431,ACOT2,14,protein-coding gene,gene with protein product,,,ENSG00000119673,10965,P49753
ACOT4,HGNC:19748,ACOT4,14,protein-coding gene,gene with protein product,,,ENSG00000177465,122970,Q8N9L9
ACOT6,HGNC:33159,ACOT6,14,protein-coding gene,gene with protein product,,,ENSG00000205669,641372,Q3I5F7
ACOT7,HGNC:24157,ACOT7,1,protein-coding gene,gene with protein product,,,ENSG00000097021,11332,O00154
ACOT8,HGNC:15919,ACOT8,20,protein-coding gene,gene with protein product,,2005-09-19,ENSG00000101473,10005,O14734
ACOT9,HGNC:17152,ACOT9,X,protein-coding gene,gene with protein product,,,ENSG00000123130,23597,Q9Y305
ACOT11,HGNC:18156,ACOT11,1,protein-coding gene,gene with protein product,,2005-09-08,ENSG00000162390,26027,Q8WXI4
ACOT12,HGNC:24436,ACOT12,5,protein-coding gene,gene with protein product,,,ENSG00000172497,134526,Q8WYK0
ACOT13,HGNC:20999,ACOT13,6,protein-coding gene,gene with protein product,,2009-05-05,ENSG00000112304,55856,Q9NPJ3
ACOX1,HGNC:119,ACOX1,17,protein-coding gene,gene with protein product,,,ENSG00000161533,51,Q15067
ACOX2,HGNC:120,ACOX2,3,protein-coding gene,gene with protein product,,,ENSG00000168306,8309,Q99424
ACOX3,HGNC:121,ACOX3,4,protein-coding gene,gene with protein product,,,ENSG00000087008,8310,O15254
ACOXL,HGNC:25621,ACOXL,2,protein-coding gene,gene with protein product,,,ENSG00000153093,55289,Q9NUZ1
ACOXL-AS1,HGNC:41112,ACOXL-AS1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000204581,400997,
ACP1,HGNC:122,ACP1,2,protein-coding gene,gene with protein product,,,ENSG00000143727,52,P24666
ACP2,HGNC:123,ACP2,11,protein-coding gene,gene with protein product,,,ENSG00000134575,53,P11117
ACP3,HGNC:125,ACP3,3,protein-coding gene,gene with protein product,,2019-09-19,ENSG00000014257,55,P15309
ACP4,HGNC:14376,ACP4,19,protein-coding gene,gene with protein product,,2017-06-23,ENSG00000142513,93650,Q9BZG2
ACP5,HGNC:124,ACP5,19,protein-coding gene,gene with protein product,,,ENSG00000102575,54,P13686
ACP6,HGNC:29609,ACP6,1,protein-coding gene,gene with protein product,,,ENSG00000162836,51205,Q9NPH0
ACP7,HGNC:33781,ACP7,19,protein-coding gene,gene with protein product,,,ENSG00000183760,390928,Q6ZNF0
ACR,HGNC:126,ACR,22,protein-coding gene,gene with protein product,,,ENSG00000100312,49,P10323
ACRBP,HGNC:17195,ACRBP,12,protein-coding gene,gene with protein product,,,ENSG00000111644,84519,Q8NEB7
ACRP1,HGNC:54745,ACRP1,2,pseudogene,pseudogene,,,ENSG00000175509,645529,
ACRV1,HGNC:127,ACRV1,11,protein-coding gene,gene with protein product,,,ENSG00000134940,56,P26436
ACSBG1,HGNC:29567,ACSBG1,15,protein-coding gene,gene with protein product,,,ENSG00000103740,23205,Q96GR2
